ID_Orden,ID_Cliente,ID_Ciudad,ID_StatusOrden,Total_Orden,Fecha_Orden,NumeroOrden,ID_DetalleOrden,ID_Parte_Orden,ID_Parte_Cotizacion,ID_Descuento,CantidadCotizacion,CantidadOrden,Vehiculo_Cotizacion,VehiculoID_Orden,IDCotizacion,status,TipoDocumento,FechaCreacionCotizacion,ProcesadoPor,IDAseguradora,AseguradoraSubsidiaria,NumeroReclamo,IDPlantaReparacion,OrdenRealizada,CotizacionRealizada,CotizacionDuplicada,procurementFolderID,DireccionEntrega1,DireccionEntrega2,MarcadoEntrega,IDPartner,CodigoPostal_Cotizacion,LeidoPorPlantaReparacion,LeidoPorPlantaReparacionFecha,CotizacionReabierta,EsAseguradora,CodigoVerificacion,IDClientePlantaReparacion,FechaCreacionRegistro_Cotizacion,IDRecotizacion,PartnerConfirmado,WrittenBy,SeguroValidado,FechaCaptura,Ruta,FechaLimiteRuta
53,,620,4,18196.63,3/14/2017 10:34,67494,53,AC1000140R,AC1000140R,9,5,5,3018,3018,53,Order,8129809421,3/14/2017 10:34,Aseguradora,1848,31692,97634,3177291,FALSE,TRUE,TRUE,,468 South Rocky Cowley Way,Washington Building,TRUE,98782,3075,TRUE,3/14/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/14/2017 10:34,44426,TRUE,,FALSE,3/14/2017 10:34,3145004,3/14/2017 10:34
54,,488,3,275.32,3/15/2017 10:34,20594,54,AC1000130R-ORIG.REC,AC1000130R-ORIG.REC,12,6,6,151564,151564,54,Quote,9131529766,3/15/2017 10:34,Call center,438,6013,11206,3064390,FALSE,TRUE,TRUE,,77 North White New Drive,,FALSE,75033,74863,TRUE,3/15/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/15/2017 10:34,74169,FALSE,,TRUE,3/15/2017 10:34,,3/15/2017 10:34
55,,195,2,5370.32,3/16/2017 10:34,60173,55,*886CMISC,*886CMISC,21,7,7,54437,54437,55,Order,3607595846,3/16/2017 10:34,Servicio de Integracion,880,75324,74254,293508,TRUE,TRUE,FALSE,,99 North Fabien Street,Franklin Building,TRUE,99323,20830,FALSE,3/16/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/16/2017 10:34,76813,FALSE,,TRUE,3/16/2017 10:34,3063A05,3/16/2017 10:34
56,,879,6,10620.41,3/17/2017 10:34,89615,56,*HDPCLN012,*HDPCLN012,20,8,8,46598,46598,56,Order,8782774716,3/17/2017 10:34,Aseguradora,880,33187,63604,327707,FALSE,FALSE,FALSE,,168 Oak St.,,TRUE,6522,90976,TRUE,3/17/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/17/2017 10:34,16042,TRUE,,FALSE,3/17/2017 10:34,,3/17/2017 10:34
57,,826,5,18076.94,3/18/2017 10:34,71399,57,AC1000145R-ORIG.REC,AC1000145R-ORIG.REC,8,9,9,65068,65068,57,Quote,3844934983,3/18/2017 10:34,Aseguradora,1442,76371,50726,3254352,TRUE,TRUE,TRUE,,233 White Old Freeway,Appartment 17,FALSE,96908,67922,TRUE,3/18/2017 10:34,TRUE,FALSE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,,3/18/2017 10:34,61229,TRUE,,TRUE,3/18/2017 10:34,,3/18/2017 10:34
58,,736,5,8543.65,3/19/2017 10:34,67629,58,410ADJUST,410ADJUST,17,10,10,27969,27969,58,Order,9859059947,3/19/2017 10:34,Aseguradora,438,19252,80265,491446,TRUE,TRUE,TRUE,,560 Rocky Second Blvd.,Appartment 1,TRUE,74890,27773,TRUE,3/19/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/19/2017 10:34,13741,TRUE,,FALSE,3/19/2017 10:34,3051001,3/19/2017 10:34
59,,859,6,14264.19,3/20/2017 10:34,29680,59,ABP6108BK,ABP6108BK,,11,11,6456,6456,59,Quote,262251394,3/20/2017 10:34,Aseguradora,1236,11713,64695,1945819,TRUE,TRUE,FALSE,,432 East White Cowley Parkway,Truman Building,FALSE,51576,31621,TRUE,3/20/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/20/2017 10:34,93096,FALSE,,TRUE,3/20/2017 10:34,,3/20/2017 10:34
60,,680,5,3341.98,3/21/2017 10:34,88858,60,ABP9137,ABP9137,,12,12,77698,77698,60,Order,9223092348,3/21/2017 10:34,Call center,1236,45594,26649,2094053,FALSE,TRUE,TRUE,,42 Second Road,Marshall Building,FALSE,64885,95709,TRUE,3/21/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/21/2017 10:34,86312,FALSE,,TRUE,3/21/2017 10:34,1848008,3/21/2017 10:34
61,,625,4,12961.21,3/22/2017 10:34,82667,61,,,6,1,1,,,61,Quote,,3/22/2017 10:34,Call center,1878,88708,29632,,FALSE,TRUE,TRUE,,976 New Avenue,285th Floor,FALSE,84292,99237,FALSE,3/22/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/22/2017 10:34,99029,TRUE,,TRUE,3/22/2017 10:34,3005A07,3/22/2017 10:34
62,,219,2,13150.87,3/23/2017 10:34,15161,62,AC1000114CORE,AC1000114CORE,,2,2,,,62,Order,1707878722,3/23/2017 10:34,Aseguradora,1878,74312,79357,2927351,FALSE,TRUE,FALSE,,502 Rocky Nobel Freeway,2nd Floor,TRUE,37578,42660,FALSE,3/23/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/23/2017 10:34,226,FALSE,,TRUE,3/23/2017 10:34,,3/23/2017 10:34
63,,896,6,2565.89,3/24/2017 10:34,12123,63,771RTEMP999,771RTEMP999,,3,3,49559,49559,63,Order,3818619754,3/24/2017 10:34,Servicio de Integracion,1442,3480,19572,977713,TRUE,TRUE,TRUE,,724 Rocky Nobel Street,,FALSE,16615,,TRUE,3/24/2017 10:34,FALSE,FALSE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,,3/24/2017 10:34,45584,FALSE,,TRUE,3/24/2017 10:34,3005B06,3/24/2017 10:34
64,,897,6,4109.77,3/25/2017 10:34,34165,64,AC1000147CORE,AC1000147CORE,18,4,4,68635,68635,64,Order,7837749702,3/25/2017 10:34,Aseguradora,438,32390,20829,3269197,TRUE,TRUE,FALSE,,88 North White Cowley Way,Sales Department,FALSE,9846,94244,FALSE,3/25/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/25/2017 10:34,92402,TRUE,,TRUE,3/25/2017 10:34,3127015,3/25/2017 10:34
65,,87,1,11723.42,3/26/2017 10:34,60982,65,ABP140,ABP140,24,5,5,,,65,Order,4182564412,3/26/2017 10:34,Servicio de Integracion,438,31024,77727,1370393,TRUE,TRUE,FALSE,,104 New Boulevard,59th Floor,TRUE,12926,45659,TRUE,3/26/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/26/2017 10:34,21975,TRUE,,TRUE,3/26/2017 10:34,,3/26/2017 10:34
66,,839,6,20859.89,3/27/2017 10:34,91331,66,771RAW06,771RAW06,,6,6,84805,84805,66,Order,,3/27/2017 10:34,Servicio de Integracion,902,97158,31010,968804,FALSE,TRUE,TRUE,,25 White New Way,Suite 15,TRUE,11161,56887,FALSE,3/27/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/27/2017 10:34,84942,FALSE,,FALSE,3/27/2017 10:34,3148015,3/27/2017 10:34
67,,171,2,18674.05,3/28/2017 10:34,69901,67,ABP5188,ABP5188,2,7,7,40578,40578,67,Quote,2942230462,3/28/2017 10:34,Servicio de Integracion,1848,40098,94719,1817092,FALSE,TRUE,FALSE,,225 Hague Blvd.,8th Floor,TRUE,58146,65883,TRUE,3/28/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/28/2017 10:34,38414,TRUE,,TRUE,3/28/2017 10:34,3102KIP,3/28/2017 10:34
68,,645,4,23986.04,3/29/2017 10:34,26737,68,AC1000163CORE-ORIG.REC,AC1000163CORE-ORIG.REC,17,8,8,134254,134254,68,Order,8013104852,3/29/2017 10:34,Planta de Reparacion,890,911,60727,3680617,TRUE,FALSE,FALSE,,85 Clarendon Street,Marshall Building,TRUE,27296,18052,TRUE,3/29/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/29/2017 10:34,56664,FALSE,,FALSE,3/29/2017 10:34,,3/29/2017 10:34
69,,827,5,15249.3,3/30/2017 10:34,65412,69,AC1000113CORE,AC1000113CORE,,9,9,,,69,Quote,1399462202,3/30/2017 10:34,Call center,890,46515,85301,2917965,FALSE,TRUE,FALSE,,72 North Rocky Fabien Way,Appartment 43,FALSE,54888,67172,TRUE,3/30/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/30/2017 10:34,70171,TRUE,,FALSE,3/30/2017 10:34,3051024,3/30/2017 10:34
70,,220,2,5301.27,3/31/2017 10:34,81710,70,*HDPCLN004,*HDPCLN004,,10,10,40363,40363,70,Quote,7542416655,3/31/2017 10:34,Call center,3,49847,80075,321281,FALSE,TRUE,FALSE,,88 Rocky Hague Blvd.,Appartment 910,FALSE,43707,85006,FALSE,3/31/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,3/31/2017 10:34,29790,FALSE,,TRUE,3/31/2017 10:34,3050007,3/31/2017 10:34
71,,1000,6,21607,4/1/2017 10:34,72356,71,ABP1461,ABP1461,,11,11,181432,181432,71,Quote,3280154036,4/1/2017 10:34,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,4/1/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/1/2017 10:34,63453,TRUE,,TRUE,4/1/2017 10:34,,4/1/2017 10:34
72,,482,3,24856.36,4/2/2017 10:34,8146,72,226ADJUST,226ADJUST,24,12,12,139189,139189,72,Quote,3280154036,4/2/2017 10:34,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,4/2/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/2/2017 10:34,63453,TRUE,,TRUE,4/2/2017 10:34,,4/2/2017 10:34
73,,653,4,13895.46,4/3/2017 10:34,73273,73,ABP843114,ABP843114,,1,1,152112,152112,73,Order,8269852186,4/3/2017 10:34,Planta de Reparacion,186,34458,81126,2082706,TRUE,TRUE,TRUE,,85 White Milton Boulevard,,FALSE,85351,91193,TRUE,4/3/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/3/2017 10:34,18735,FALSE,,FALSE,4/3/2017 10:34,,4/3/2017 10:34
74,,720,5,7554.57,4/4/2017 10:34,63312,74,ABPCV31ELS,ABPCV31ELS,,2,2,,,74,Order,2970357899,4/4/2017 10:34,Servicio de Integracion,186,31007,15013,2314791,TRUE,TRUE,TRUE,,774 Green Second Road,Marshall Building,TRUE,92607,69258,TRUE,4/4/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/4/2017 10:34,46790,TRUE,,TRUE,4/4/2017 10:34,3004001,4/4/2017 10:34
75,,810,5,13872.55,4/5/2017 10:34,17985,75,435ADJUST,435ADJUST,15,3,3,106410,106410,75,Order,662287231,4/5/2017 10:34,Planta de Reparacion,319,67290,43913,581067,TRUE,TRUE,TRUE,,809 North White Milton Drive,Suite 19,FALSE,92352,77320,FALSE,4/5/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/5/2017 10:34,50281,FALSE,,FALSE,4/5/2017 10:34,1801010,4/5/2017 10:34
76,,101,1,23219.26,4/6/2017 10:34,94923,76,ABP840150,ABP840150,,4,4,211962,211962,76,Quote,5464169818,4/6/2017 10:34,Aseguradora,319,40246,62838,2053595,FALSE,TRUE,TRUE,,997 North Oak Parkway,APT 9,FALSE,55020,5943,TRUE,4/6/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/6/2017 10:34,23875,TRUE,,FALSE,4/6/2017 10:34,,4/6/2017 10:34
77,,730,5,12654.88,4/7/2017 10:34,17973,77,AC1000155CORE,AC1000155CORE,1,5,5,45026,45026,77,Order,515258462,4/7/2017 10:34,Servicio de Integracion,1151,79847,41819,3386843,FALSE,TRUE,TRUE,,59 White Nobel Blvd.,APT 7,FALSE,25154,27992,FALSE,4/7/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/7/2017 10:34,79331,FALSE,,TRUE,4/7/2017 10:34,3050006,4/7/2017 10:34
78,,1052,5,967.2,4/8/2017 10:34,61904,78,*682CMISC,*682CMISC,,6,6,204122,204122,78,Quote,5293623462,4/8/2017 10:34,Planta de Reparacion,1151,33248,79752,192056,TRUE,TRUE,FALSE,,128 Old Boulevard,Jefferson Building,FALSE,52810,61667,FALSE,4/8/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/8/2017 10:34,70556,TRUE,,TRUE,4/8/2017 10:34,,4/8/2017 10:34
79,,126,1,11565.78,4/9/2017 10:34,11785,79,AC1000111CORE,AC1000111CORE,2,7,7,130456,130456,79,Quote,5424830817,4/9/2017 10:34,Servicio de Integracion,1147,79181,,2906909,TRUE,TRUE,TRUE,,597 White New Street,,TRUE,29190,48144,FALSE,4/9/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/9/2017 10:34,29315,TRUE,,FALSE,4/9/2017 10:34,,4/9/2017 10:34
80,,906,6,6931.87,4/10/2017 10:34,35063,80,ABP9979,ABP9979,,8,8,134781,134781,80,Order,9610761395,4/10/2017 10:34,Planta de Reparacion,438,51724,75415,2183253,TRUE,TRUE,FALSE,,29 Green Hague St.,Franklin Building,TRUE,33298,18567,TRUE,4/10/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/10/2017 10:34,6380,FALSE,,TRUE,4/10/2017 10:34,,4/10/2017 10:34
81,,190,2,19988.33,4/11/2017 10:34,91314,81,AC1000150,AC1000150,24,9,9,213530,213530,81,Order,5845807562,4/11/2017 10:34,Call center,438,24466,41090,3326620,TRUE,TRUE,FALSE,,816 North First Avenue,APT 6,TRUE,39267,70514,FALSE,4/11/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/11/2017 10:34,96803,TRUE,,FALSE,4/11/2017 10:34,303216B,4/11/2017 10:34
82,,477,3,24947.68,4/12/2017 10:34,44045,82,ABP4416,ABP4416,10,10,10,112992,112992,82,Order,3962875371,4/12/2017 10:34,Call center,296,88717,61792,1755082,FALSE,TRUE,FALSE,,381 Second Way,Pre Sales Department,FALSE,65572,55826,FALSE,4/12/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/12/2017 10:34,74266,TRUE,,FALSE,4/12/2017 10:34,3102KIP,4/12/2017 10:34
83,,541,4,6922.77,4/13/2017 10:34,98945,83,AC1000101CORE,AC1000101CORE,8,11,11,115169,115169,83,Order,321557322,4/13/2017 10:34,Servicio de Integracion,438,18446,95267,2791888,FALSE,TRUE,FALSE,,105 Milton Freeway,Suite 9,FALSE,74745,67669,TRUE,4/13/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/13/2017 10:34,20422,FALSE,,FALSE,4/13/2017 10:34,3143002,4/13/2017 10:34
84,,326,2,22666.25,4/14/2017 10:34,61317,84,ABP6338,ABP6338,14,12,12,107246,107246,84,Order,2839259150,4/14/2017 10:34,Servicio de Integracion,438,52902,523,1956803,FALSE,FALSE,FALSE,,36 Green First Avenue,Suite 3054,FALSE,27212,60927,TRUE,4/14/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/14/2017 10:34,495,TRUE,,FALSE,4/14/2017 10:34,,4/14/2017 10:34
85,,672,5,18838.59,4/15/2017 10:34,11929,85,ABPCCC78076C,ABPCCC78076C,,1,1,153536,153536,85,Order,323483857,4/15/2017 10:34,Servicio de Integracion,1467,76868,48194,2257380,FALSE,TRUE,TRUE,,982 Rocky Fabien Boulevard,Suite 2371,FALSE,66549,15023,FALSE,4/15/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/15/2017 10:34,90746,TRUE,,FALSE,4/15/2017 10:34,1530013,4/15/2017 10:34
86,,469,3,6852.34,4/16/2017 10:34,84407,86,773SCRAP05,773SCRAP05,,2,2,64571,64571,86,Order,4812651839,4/16/2017 10:34,Servicio de Integracion,1467,65551,54778,1047020,FALSE,TRUE,FALSE,,80 Cowley Way,3rd Floor,TRUE,22781,45082,FALSE,4/16/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/16/2017 10:34,88904,TRUE,,TRUE,4/16/2017 10:34,,4/16/2017 10:34
87,,834,6,4045.49,4/17/2017 10:34,54685,87,ABP220665,ABP220665,,3,3,77064,77064,87,Order,1788859365,4/17/2017 10:34,Call center,1846,27796,44094,1645813,TRUE,TRUE,TRUE,,12 Cowley Blvd.,Suite 3,TRUE,98585,4711,TRUE,4/17/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/17/2017 10:34,56637,TRUE,,TRUE,4/17/2017 10:34,,4/17/2017 10:34
88,,1075,5,13968.79,4/18/2017 10:34,87518,88,661BLEM08,661BLEM08,16,4,4,,,88,Order,7299108936,4/18/2017 10:34,Planta de Reparacion,1846,46127,8725,708628,FALSE,FALSE,TRUE,,74 South Oak Avenue,Sales Group,FALSE,74651,32158,FALSE,4/18/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/18/2017 10:34,16389,TRUE,,FALSE,4/18/2017 10:34,3051014,4/18/2017 10:34
89,,794,5,22917.42,4/19/2017 10:34,79000,89,662BLEM02,662BLEM02,,5,5,167177,167177,89,Quote,9358994977,4/19/2017 10:34,Planta de Reparacion,438,11537,70790,760414,TRUE,FALSE,TRUE,,207 Green Oak Drive,Washington Building,FALSE,88887,5980,TRUE,4/19/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/19/2017 10:34,97447,TRUE,,FALSE,4/19/2017 10:34,1710038,4/19/2017 10:34
90,,765,5,24353.25,4/20/2017 10:34,58399,90,ABP1995MICH2,ABP1995MICH2,11,6,6,209360,209360,90,Quote,4155598821,4/20/2017 10:34,Servicio de Integracion,438,41139,51865,1600850,FALSE,TRUE,FALSE,,67 White Hague Road,Suite 12,FALSE,2690,14340,TRUE,4/20/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/20/2017 10:34,80060,FALSE,,FALSE,4/20/2017 10:34,,4/20/2017 10:34
91,,938,6,12249.03,4/21/2017 10:34,22525,91,*420CMISC,*420CMISC,4,7,7,51472,51472,91,Quote,4183630936,4/21/2017 10:34,Call center,438,42014,77693,61873,TRUE,TRUE,FALSE,,280 South Cowley Freeway,,FALSE,41684,42237,TRUE,4/21/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/21/2017 10:34,32738,FALSE,,FALSE,4/21/2017 10:34,,4/21/2017 10:34
92,,295,2,9824.09,4/22/2017 10:34,19078,92,AC1000101R-ORIG.REC,AC1000101R-ORIG.REC,16,8,8,,,92,Quote,7743950867,4/22/2017 10:34,Call center,3,36712,72652,2808717,TRUE,TRUE,FALSE,,27 White Cowley Avenue,,FALSE,99224,67535,TRUE,4/22/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/22/2017 10:34,,TRUE,,TRUE,4/22/2017 10:34,3032007,4/22/2017 10:34
93,,523,4,16820.31,4/23/2017 10:34,38532,93,AC1000138CORE-ORIG.REC,AC1000138CORE-ORIG.REC,18,9,9,204753,204753,93,Order,4884658144,4/23/2017 10:34,Aseguradora,3,65696,41672,3138106,TRUE,TRUE,TRUE,,55 Milton St.,Suite 2,FALSE,93274,95979,TRUE,4/23/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/23/2017 10:34,51697,FALSE,,FALSE,4/23/2017 10:34,,4/23/2017 10:34
94,,664,4,2104.99,4/24/2017 10:34,80325,94,ABP44,ABP44,5,10,10,123795,123795,94,Order,2940621883,4/24/2017 10:34,Aseguradora,1236,94964,61241,1749853,TRUE,TRUE,TRUE,,247 Nobel Street,Customer Group,TRUE,60486,95632,FALSE,4/24/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/24/2017 10:34,26218,TRUE,,TRUE,4/24/2017 10:34,3002005,4/24/2017 10:34
95,,333,2,7605.65,4/25/2017 10:34,77424,95,AC1000154OE,AC1000154OE,,11,11,,,95,Quote,5470103834,4/25/2017 10:34,Servicio de Integracion,1236,92830,96322,3382154,FALSE,TRUE,TRUE,,93 South White Fabien Street,Washington Building,TRUE,84567,,FALSE,4/25/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/25/2017 10:34,90125,TRUE,,TRUE,4/25/2017 10:34,,4/25/2017 10:34
96,,287,2,19519.25,4/26/2017 10:34,86536,96,ABPA5082,ABPA5082,7,12,12,215338,215338,96,Order,1695275021,4/26/2017 10:34,Planta de Reparacion,860,18765,87981,2204160,FALSE,TRUE,FALSE,,70 Fabien Way,,TRUE,89854,55537,TRUE,4/26/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/26/2017 10:34,43092,FALSE,,FALSE,4/26/2017 10:34,3007017,4/26/2017 10:34
97,,821,5,17163.03,4/27/2017 10:34,46130,97,AC1000149CORE-ORIG.REC,AC1000149CORE-ORIG.REC,15,1,1,,,97,Quote,4459988779,4/27/2017 10:34,Servicio de Integracion,860,92199,20584,3317000,TRUE,TRUE,FALSE,,721 Rocky Hague Blvd.,,FALSE,88965,96386,FALSE,4/27/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/27/2017 10:34,48630,TRUE,,TRUE,4/27/2017 10:34,,4/27/2017 10:34
98,,223,2,13142.54,4/28/2017 10:34,59096,98,ABPT1087,ABPT1087,,2,2,207184,207184,98,Order,8336538761,4/28/2017 10:34,Aseguradora,2,50956,2845,2632833,FALSE,TRUE,TRUE,,75 Cowley Parkway,Appartment 692,TRUE,35418,99409,TRUE,4/28/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/28/2017 10:34,57853,TRUE,,FALSE,4/28/2017 10:34,,4/28/2017 10:34
99,,187,2,13668.35,4/29/2017 10:34,62630,99,ABPT1087,ABPT1087,,2,2,207184,207184,99,Order,3870194370,4/29/2017 10:34,Planta de Reparacion,2,54563,87939,1492753,TRUE,TRUE,TRUE,,535 East Oak Street,,TRUE,83883,26948,TRUE,4/29/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/29/2017 10:34,99092,TRUE,,TRUE,4/29/2017 10:34,1710026,4/29/2017 10:34
100,,187,2,13668.35,4/30/2017 10:34,62630,100,ABPT1087,ABPT1087,,2,2,207184,207184,100,Order,1934214956,4/30/2017 10:34,Aseguradora,2078,17732,93620,3027820,FALSE,TRUE,FALSE,,942 New Way,9th Floor,FALSE,55459,74585,TRUE,4/30/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,4/30/2017 10:34,77207,FALSE,,FALSE,4/30/2017 10:34,,4/30/2017 10:34
